District,Poly
Liverpool,"53.47512284778856,-2.9222635287964107:53.47274408093905,-2.9566291484274614:53.443009495320126,-2.975448416320656:53.43825196162109,-3.008995806912872:53.390081932918434,-2.9885400809420086:53.33418091195485,-2.8780791606993454:53.331802145105335,-2.8265307312527694:53.34785882133956,-2.8191666699032583:53.34726412962718,-2.8404406249129566:53.37878279038324,-2.855986976650813:53.38235094065751,-2.8224395860585965:53.39959700031649,-2.8371677087576184:53.406733300865035,-2.8903525962818635:53.41803244340022,-2.8658057251168274:53.450145795868664,-2.868260412233331:53.47512284778856,-2.9222635287964107"
Islington,"51.5649730676287,-0.10428271905024822:51.56913590961535,-0.14273948387547186:51.530480948310746,-0.12228375790460788:51.51858711406317,-0.08628168019588767:51.53285971516026,-0.09691865770073704:51.54772700796972,-0.07646293172987395:51.5649730676287,-0.10428271905024822"
Nottingham,"52.948820682333555,-1.0861575656516989:52.99699071103622,-1.1532523468361306:53.006505778434274,-1.143433598370116:53.01839961268185,-1.1827085922341745:53.00828985357141,-1.2252565022535702:52.986880951925784,-1.2039825472438723:52.984502185076266,-1.246530457263269:52.96785081712967,-1.2318023345642466:52.949415374045934,-1.2448939991855994:52.9173020215775,-1.1827085922341745:52.9006506536309,-1.21789244090406:52.888756819383325,-1.1769809889623328:52.90005596191852,-1.1589799501079723:52.93692684808599,-1.1524341177972959:52.948820682333555,-1.0861575656516989"
Hammersmith and Fulham,"51.530480948310746,-0.2286535329530981:51.52453403118696,-0.2523821750793003:51.48944722015663,-0.24583634276862387:51.46625424337386,-0.18610562293370236:51.477553385909054,-0.17955979062302596:51.530480948310746,-0.2286535329530981"
Newcastle upon Tyne,"55.0647337949764,-1.63764393782618:55.07960108778586,-1.6474626862921946:55.070680712100184,-1.7047387190106118:55.052839960728825,-1.7104663222824543:55.04273020161839,-1.694919970544598:55.02429475853466,-1.7505595451853466:54.9898026392167,-1.7759246453892175:54.96839373757108,-1.720285070748468:54.96006805359777,-1.6343710216708418:54.976124729831994,-1.59264134069028:54.96423089558442,-1.5378199950883653:54.98385572209291,-1.530455933738855:54.992181406066216,-1.5631850952922361:55.00526462373854,-1.5582757210592293:55.01061684914995,-1.600823631078625:55.03916205134412,-1.59264134069028:55.04154081819363,-1.638462166865014:55.0647337949764,-1.63764393782618"
Bournemouth,"50.76332863934243,-1.8732939010105278:50.780574699001406,-1.8962043140978952:50.75559764708151,-1.9379339950784562:50.741919737696804,-1.8912949398648875:50.70921169351598,-1.901113688330902:50.720510836051176,-1.8299277619522973:50.71099576865312,-1.748923087107677:50.721700219475935,-1.740740796719332:50.73062059516161,-1.7939256842435771:50.77343839845287,-1.8512017169619952:50.76332863934243,-1.8732939010105278"
Brighton and Hove,"50.88642982380479,-0.1353754225259607:50.89059266579144,-0.17792333254535642:50.86858907243343,-0.18774208101137102:50.878104139831485,-0.22701707487542944:50.86323684702202,-0.2450181137297891:50.82755534427931,-0.21638009737058006:50.799010142085145,-0.03882439594348508:50.815066818319366,-0.01591398285611767:50.821608427155525,-0.046188457292995366:50.841233253664015,-0.037187937865815535:50.841233253664015,-0.07319001557453575:50.87334660613246,-0.08464522211821901:50.88642982380479,-0.1353754225259607"
Croydon,"51.419868289808335,-0.07891761884637738:51.42343644008261,-0.11246500943859328:51.40916383898552,-0.13210250637062249:51.34553182576102,-0.11655615463276625:51.338990216924856,-0.14764885810847872:51.301524639045006,-0.1550129194579899:51.28725203794792,-0.11819261271043491:51.338395525212476,-0.03800616690465031:51.33006984123918,0.0029052850370767658:51.379429253366595,-0.026550960360966158:51.419868289808335,-0.07891761884637738"
Haringey,"51.60541210407044,-0.04127908305998851:51.611359021194225,-0.1353754225259607:51.60541210407044,-0.15664937753565855:51.572704059889624,-0.1713775002346809:51.56437837591632,-0.10510094808908299:51.578056285301024,-0.060916579992017716:51.60541210407044,-0.04127908305998851"
Newham,"51.54415885769545,0.0683636081438399:51.56378368420394,0.05036256928948024:51.551889849956375,-0.01918689901145587:51.53642786543453,-0.020823357089124528:51.530480948310746,0.0020870559982419934:51.51977649748793,-0.008549921506606495:51.500746362691814,0.017633407736099116:51.49896228755468,0.06918183718267468:51.515018963788904,0.09700162450304894:51.54415885769545,0.0683636081438399"
